Circuit;Aanmeldwachttijd;Totale wachttijd
Generalistische basis-ggz (vrijgevestigd en instellingen);5;7
Aandachtstekort- en gedragsstoornissen;9;18
Alcohol gebonden stoornissen;4;8
Angststoornissen;8;16
Bipolair en overige stemmingsstoornissen;7;13
Delirium, dementie en overige cognitieve stoornissen;3;8
Depressieve stoornissen;7;14
Eetstoornissen;9;13
Overige aan middel gebonden stoornissen;5;8
Overige stoornissen;< 25 locaties;< 25 locaties
Overige stoornissen kindertijd;< 25 locaties;< 25 locaties
Persoonlijkheidsstoornissen;8;17
Pervasieve stoornissen;13;22
Schizofrenie en andere psychotische stoornissen;4;6
Somatoforme stoornissen;8;15
Vrijgevestigde aanbieders (gespecialiseerde ggz);8;11
